Human	Influenza
P13674	Influenza:Q194T2
P07237	Influenza:Q194T2
Q8WXF7	Influenza:Q9DLK6
P12004	Influenza:Q67020
Q9Y262	Influenza:Q67020
Q9Y3I0	Influenza:Q194T2
Q9Y224	Influenza:Q67020
Q9Y224	Influenza:Q194T2
Q9P2I0	Influenza:Q194T2
P24928	Influenza:Q67020
O14818	Influenza:Q67020
P0CG47	Influenza:Q9DLK6
Q8TCU4	Influenza:Q194T2
P35658	Influenza:Q67020
P51784	Influenza:Q9DLK6
O15294	Influenza:Q194T2
A6NKF1	Influenza:Q194T2
O15018	Influenza:Q194T2
O15287	Influenza:Q67020
O60318	Influenza:Q194T2
O75569	Influenza:Q67020
O94885	Influenza:Q194T2
O94986	Influenza:Q9DLK6
O95379	Influenza:Q194T2
P27986	Influenza:Q194T2
P31327	Influenza:Q194T2
P34949	Influenza:Q9DLK6
P38159	Influenza:Q194T2
P42338	Influenza:Q194T2
P53007	Influenza:Q194T2
P54105	Influenza:Q9DLK6
P61457	Influenza:Q67020
P61962	Influenza:Q194T2
Q10570	Influenza:Q194T2
Q13425	Influenza:Q194T2
Q14145	Influenza:Q194T2
Q32MZ4	Influenza:Q67020
Q49A26	Influenza:Q67020
Q5JVF3	Influenza:Q194T2
Q5SRD1	Influenza:Q194T2
Q6P2I0	Influenza:Q9DLK6
Q6UN15	Influenza:Q194T2
Q6V0I7	Influenza:Q194T2
Q7Z3B4	Influenza:Q67020
Q86UA1	Influenza:Q194T2
Q8NBZ7	Influenza:Q67020
Q8TD26	Influenza:Q67020
Q92526	Influenza:Q194T2
Q92569	Influenza:Q194T2
Q96EY8	Influenza:Q194T2
Q96PV6	Influenza:Q194T2
Q9BUP0	Influenza:Q194T2
Q9BV20	Influenza:Q67020
Q9BVV6	Influenza:Q67020
Q9C0J8	Influenza:Q194T2
Q9NNW5	Influenza:Q194T2
Q9NP64	Influenza:Q67020
Q9NPA8	Influenza:Q194T2
Q9P0K7	Influenza:Q194T2
Q9UHV9	Influenza:Q194T2
Q9UKF6	Influenza:Q194T2
Q9Y2I1	Influenza:Q194T2
Q9Y4D8	Influenza:Q194T2
P01857	Influenza:A4ZNQ2
Q12906	Influenza:A4ZNQ3
P63208	Influenza:A4ZNQ2
O00459	Influenza:A4ZNQ3
O15226	Influenza:A4ZNQ3
O43719	Influenza:A4ZNP8
O95639	Influenza:A4ZNQ3
P06733	Influenza:A4ZNQ2
P06733	Influenza:A4ZNQ3
Q9NUL3	Influenza:A4ZNQ3
Q13227	Influenza:A4ZNQ2
P08865	Influenza:A4ZNQ2
P21912	Influenza:A4ZNQ2
P21912	Influenza:A4ZNQ3
P18583	Influenza:A4ZNQ3
O95793	Influenza:A4ZNQ3
Q13155	Influenza:A4ZNQ2
P35658	Influenza:A4ZNQ2
P63167	Influenza:A4ZNQ2
Q96HA1	Influenza:A4ZNQ2
O14530	Influenza:A4ZNQ2
O14907	Influenza:A4ZNQ3
O14908	Influenza:A4ZNQ3
O75348	Influenza:A4ZNQ2
O75348	Influenza:A4ZNQ3
O75569	Influenza:A4ZNQ3
O95219	Influenza:A4ZNQ2
P07942	Influenza:A4ZNQ2
P15822	Influenza:A4ZNQ3
P15822	Influenza:A4ZNQ2
P19429	Influenza:A4ZNQ2
P19429	Influenza:A4ZNQ3
P27986	Influenza:A4ZNQ3
P40429	Influenza:A4ZNQ3
P49589	Influenza:A4ZNQ3
P62750	Influenza:A4ZNQ3
P63010	Influenza:A4ZNQ2
Q07817	Influenza:A4ZNQ3
Q08AM6	Influenza:A4ZNQ2
Q13105	Influenza:A4ZNQ2
Q13105	Influenza:A4ZNQ3
Q13561	Influenza:A4ZNQ2
Q14160	Influenza:A4ZNQ3
Q15633	Influenza:A4ZNQ3
Q15942	Influenza:A4ZNQ3
Q4J6C6	Influenza:A4ZNQ2
Q5SXM2	Influenza:A4ZNQ2
Q5SXM2	Influenza:A4ZNQ3
Q6PI77	Influenza:A4ZNQ2
Q8N4C6	Influenza:A4ZNQ2
Q8NC69	Influenza:A4ZNQ3
Q8TD31	Influenza:A4ZNQ2
Q92966	Influenza:A4ZNQ3
Q96MW5	Influenza:A4ZNQ2
Q96SI9	Influenza:A4ZNQ3
Q9BSY4	Influenza:A4ZNQ2
Q9C099	Influenza:A4ZNQ3
Q9H257	Influenza:A4ZNQ2
Q9H3R5	Influenza:A4ZNQ2
Q9NS73	Influenza:A4ZNQ2
Q9NY93	Influenza:A4ZNQ3
Q9NYF8	Influenza:A4ZNQ3
Q9UBW7	Influenza:A4ZNQ3
Q9UBW7	Influenza:A4ZNQ2
Q9UIA0	Influenza:A4ZNQ2
Q9Y2V7	Influenza:A4ZNQ2
Q9Y692	Influenza:A4ZNQ2
Q9Y692	Influenza:A4ZNQ3
Q9Y6N6	Influenza:A4ZNQ2
Q9Y6X2	Influenza:A4ZNQ2
Q9Y6X2	Influenza:A4ZNQ3
P27694	Influenza:B2BUF1
P09874	Influenza:B2BUF1
O00567	Influenza:B2BUF1
O94906	Influenza:B2BUF1
Q9Y3I0	Influenza:B2BUF1
Q8N7H5	Influenza:B2BUF1
O15371	Influenza:B2BUF1
O75821	Influenza:B2BUF1
P20042	Influenza:B2BUF1
P43243	Influenza:B2BUF1
O14646	Influenza:B2BUF1
Q14258	Influenza:B2BUF1
Q6P1J9	Influenza:B2BUF1
Q6PD62	Influenza:B2BUF1
Q8WVC0	Influenza:B2BUF1
Q92541	Influenza:B2BUF1
Q9BV38	Influenza:B2BUF1
Q9NZC9	Influenza:B2BUF1
Q9UL18	Influenza:B2BUF1
P02795	Influenza:A5Z256
Q15365	Influenza:A5Z256
O14818	Influenza:A5Z256
O75348	Influenza:A5Z256
P03973	Influenza:A5Z256
P15104	Influenza:A5Z256
P16083	Influenza:A5Z256
Q14210	Influenza:A5Z256
Q5JPE7	Influenza:A5Z256
Q5SXM2	Influenza:A5Z256
Q8N668	Influenza:A5Z256
Q9BRB3	Influenza:A5Z256
P45984	Influenza:Q20MD0
O60684	Influenza:Q20MD2
O60684	Influenza:Q20MD0
P63279	Influenza:Q20MD0
P52294	Influenza:Q20MD0
P52294	Influenza:Q20MD2
O00629	Influenza:Q20MD0
Q08379	Influenza:Q20MD0
Q15654	Influenza:Q20MC8
O95639	Influenza:Q20MD0
Q9P1Z2	Influenza:Q20MC6
Q9P1Z2	Influenza:Q20MD1
Q12933	Influenza:Q20MC6
Q12933	Influenza:Q20MD1
Q96FJ2	Influenza:Q20MD1
P52292	Influenza:Q20MD0
O00505	Influenza:Q20MD0
O00505	Influenza:Q20MD2
P40692	Influenza:Q20MD2
P19338	Influenza:Q20MD0
Q16656	Influenza:Q20MC8
P14373	Influenza:Q20MD0
Q9HA38	Influenza:Q20MD0
Q8IUQ4	Influenza:Q20MC8
O95793	Influenza:Q20MD0
Q13077	Influenza:Q20MD1
Q13077	Influenza:Q20MC6
Q13155	Influenza:Q20MD1
Q9Y5V3	Influenza:Q20MD2
B0QYN7	Influenza:Q20MD0
B4E3T4	Influenza:Q20MC6
B4E3T4	Influenza:Q20MC8
D6RJ07	Influenza:Q20MD0
O14503	Influenza:Q20MD1
O14503	Influenza:Q20MD0
O14503	Influenza:Q20MC6
O14641	Influenza:Q20MC6
O14641	Influenza:Q20MD4
O14641	Influenza:Q20MD1
O14641	Influenza:Q20MD0
O15131	Influenza:Q20MD0
O43186	Influenza:P0DOF8
O43186	Influenza:Q20MD5
O43889	Influenza:Q20MD5
O43889	Influenza:P0DOF8
O75410	Influenza:Q20MD1
O75410	Influenza:Q20MC6
O75525	Influenza:Q20MD0
O75569	Influenza:Q20MD0
P02511	Influenza:Q20MD1
P02511	Influenza:Q20MC6
P0C7W6	Influenza:Q20MD1
P0C7W6	Influenza:Q20MC6
P24278	Influenza:Q20MD5
P24278	Influenza:P0DOF8
P24278	Influenza:Q20MD2
P43356	Influenza:Q20MC6
P43360	Influenza:Q20MD1
P43364	Influenza:Q20MC6
P43364	Influenza:Q20MD1
P43365	Influenza:Q20MD0
P50222	Influenza:Q20MD4
P51116	Influenza:Q20MC8
Q06547	Influenza:Q20MC8
Q12800	Influenza:Q20MD1
Q12800	Influenza:Q20MC8
Q15633	Influenza:Q20MD0
Q6NT76	Influenza:Q20MD0
Q6P1W5	Influenza:Q20MD1
Q6P1W5	Influenza:Q20MC6
Q8N448	Influenza:Q20MD1
Q8N448	Influenza:Q20MD4
Q8N448	Influenza:Q20MC9
Q8N448	Influenza:P0DOF8
Q8N448	Influenza:Q20MC6
Q8N448	Influenza:Q20MD5
Q8N448	Influenza:Q20MD0
Q8N5I3	Influenza:Q20MC6
Q8N5I3	Influenza:Q20MD1
Q8N5R6	Influenza:Q20MD0
Q8N6Y0	Influenza:Q20MD1
Q8N6Y0	Influenza:Q20MD2
Q8N6Y0	Influenza:Q20MC6
Q8N9N5	Influenza:Q20MC8
Q8ND90	Influenza:Q20MD1
Q8ND90	Influenza:Q20MC6
Q8NF50	Influenza:Q20MC6
Q8NF50	Influenza:Q20MD1
Q8NF50	Influenza:Q20MD0
Q8NHQ1	Influenza:Q20MC6
Q8NHQ1	Influenza:Q20MD1
Q8TD10	Influenza:Q20MD1
Q8TD10	Influenza:Q20MC6
Q92997	Influenza:Q20MC6
Q92997	Influenza:Q20MD4
Q92997	Influenza:Q20MD1
Q93062	Influenza:Q20MD1
Q93062	Influenza:Q20MC8
Q96B26	Influenza:Q20MD1
Q96B26	Influenza:Q20MC6
Q96IK5	Influenza:Q20MD2
Q96MC5	Influenza:Q20MD2
Q99081	Influenza:Q20MC8
Q99081	Influenza:Q20MC6
Q99081	Influenza:Q20MD1
Q9BRK4	Influenza:Q20MD0
Q9H190	Influenza:Q20MD4
Q9H2G9	Influenza:Q20MC6
Q9H2G9	Influenza:Q20MD1
Q9H898	Influenza:Q20MD0
Q9UJ41	Influenza:Q20MD1
Q9UJ41	Influenza:Q20MC6
Q9UJC3	Influenza:Q20MC6
Q9UJC3	Influenza:Q20MD1
Q9UL40	Influenza:Q20MD0
Q9Y2D8	Influenza:Q20MD0
Q9Y6X0	Influenza:Q20MD5
Q9Y6X0	Influenza:P0DOF8
P45984	Influenza:Q2PJP0
P01857	Influenza:Q2PJP1
Q12906	Influenza:Q2PJP0
P63208	Influenza:Q2PJP1
O00459	Influenza:Q2PJP0
O15226	Influenza:Q2PJP0
O95639	Influenza:Q2PJP0
P55265	Influenza:Q2PJP0
P06733	Influenza:Q2PJP0
P06733	Influenza:Q2PJP1
Q9NUL3	Influenza:Q2PJP0
Q13227	Influenza:Q2PJP1
Q13227	Influenza:Q2PJP0
P08865	Influenza:Q2PJP1
P21912	Influenza:Q2PJP0
P21912	Influenza:Q2PJP1
P18583	Influenza:Q2PJP0
O95793	Influenza:Q2PJP0
Q13155	Influenza:Q2PJP1
P35658	Influenza:Q2PJP1
P63167	Influenza:Q2PJP1
Q96HA1	Influenza:Q2PJP1
Q96HA1	Influenza:Q2PJP0
O14530	Influenza:Q2PJP1
O14907	Influenza:Q2PJP0
O14908	Influenza:Q2PJP0
O43303	Influenza:Q2PJP1
O75348	Influenza:Q2PJP0
O75348	Influenza:Q2PJP1
O75569	Influenza:Q2PJP0
O95219	Influenza:Q2PJP1
O95229	Influenza:Q2PJP1
P07942	Influenza:Q2PJP1
P15822	Influenza:Q2PJP0
P15822	Influenza:Q2PJP1
P19429	Influenza:Q2PJP1
P19429	Influenza:Q2PJP0
P27540	Influenza:Q2PJP1
P27986	Influenza:Q2PJP0
P46108	Influenza:Q2PJP0
P49589	Influenza:Q2PJP0
P62750	Influenza:Q2PJP0
P63010	Influenza:Q2PJP1
P78352	Influenza:Q2PJP0
Q03188	Influenza:Q2PJP0
Q08AM6	Influenza:Q2PJP1
Q13105	Influenza:Q2PJP0
Q13105	Influenza:Q2PJP1
Q13561	Influenza:Q2PJP1
Q14160	Influenza:Q2PJP0
Q15633	Influenza:Q2PJP0
Q49A26	Influenza:Q2PJP0
Q49A26	Influenza:Q2PJP1
Q4J6C6	Influenza:Q2PJP1
Q5SXM2	Influenza:Q2PJP0
Q5SXM2	Influenza:Q2PJP1
Q5TA45	Influenza:Q2PJP0
Q5W0U4	Influenza:Q2PJP1
Q6PI77	Influenza:Q2PJP0
Q6PI77	Influenza:Q2PJP1
Q8N4C6	Influenza:Q2PJP1
Q8NC69	Influenza:Q2PJP0
Q8TD31	Influenza:Q2PJP1
Q96MW5	Influenza:Q2PJP1
Q96RT1	Influenza:Q2PJP0
Q96SI9	Influenza:Q2PJP0
Q9BSY4	Influenza:Q2PJP1
Q9C099	Influenza:Q2PJP0
Q9H1D9	Influenza:Q2PJP1
Q9H1D9	Influenza:Q2PJP0
Q9H3R5	Influenza:Q2PJP1
Q9NS73	Influenza:Q2PJP1
Q9NX74	Influenza:Q2PJP0
Q9NY93	Influenza:Q2PJP0
Q9NYF8	Influenza:Q2PJP0
Q9UBW7	Influenza:Q2PJP1
Q9UBW7	Influenza:Q2PJP0
Q9Y244	Influenza:Q2PJP1
Q9Y6N6	Influenza:Q2PJP1
Q9Y6X2	Influenza:Q2PJP0
P04637	Influenza:Q1NZ49
P52294	Influenza:Q2VC93
P52292	Influenza:P26053
P52292	Influenza:Q2VC93
O43707	Influenza:B2BU63
O43707	Influenza:C3W6D7
O60684	Influenza:Q38SQ9
P52294	Influenza:Q38SQ9
P52292	Influenza:Q38SQ9
Q9Y224	Influenza:Q38SR2
P62820	Influenza:P03468
Q04637	Influenza:P03428
P06396	Influenza:P03433
P06730	Influenza:P03431
P78527	Influenza:P03452
P78527	Influenza:P03431
P78527	Influenza:P03468
P78527	Influenza:P03508
P78527	Influenza:P03433
P35232	Influenza:P06821
P35232	Influenza:P03468
P19525	Influenza:P03496
P53618	Influenza:P03496
P53618	Influenza:P03431
P53618	Influenza:P03428
P53618	Influenza:P06821
P45984	Influenza:P03428
P45984	Influenza:P03496
P45984	Influenza:P03508
P02786	Influenza:P03452
P02786	Influenza:P03468
P51665	Influenza:P03452
P33992	Influenza:P03433
P07900	Influenza:P03428
P07900	Influenza:P03496
P07900	Influenza:P03431
P35606	Influenza:P06821
P35606	Influenza:P03468
P35606	Influenza:P03428
P35606	Influenza:P03452
O60684	Influenza:P03466
P63279	Influenza:P03431
P63279	Influenza:P03496
P01857	Influenza:P03508
P33176	Influenza:P03428
P33176	Influenza:P03431
P33176	Influenza:P06821
P63000	Influenza:P06821
P52294	Influenza:P03466
P52294	Influenza:P03431
P52294	Influenza:P03428
P52294	Influenza:P03433
P52294	Influenza:P03508
Q92973	Influenza:P03468
Q15370	Influenza:P06821
P60709	Influenza:P03466
P60842	Influenza:P06821
Q12906	Influenza:P03496
Q12906	Influenza:P03466
Q12906	Influenza:P03431
P07910	Influenza:P03496
P35637	Influenza:P03433
P35637	Influenza:P03508
P35637	Influenza:P03431
P35637	Influenza:P03496
Q9Y676	Influenza:P03496
Q9Y676	Influenza:P03431
Q9Y676	Influenza:P03466
Q9Y676	Influenza:P03428
P07737	Influenza:P03496
P60953	Influenza:P06821
P35580	Influenza:P03496
Q14152	Influenza:P03452
Q14152	Influenza:P03433
Q13148	Influenza:P03496
Q13148	Influenza:P03468
Q13148	Influenza:P06821
Q9P0J0	Influenza:P03431
P50570	Influenza:P06821
P50570	Influenza:P03433
P68104	Influenza:P03496
P68104	Influenza:P03431
P05556	Influenza:P03452
P05556	Influenza:P03468
P63208	Influenza:P03431
P11940	Influenza:P03496
P11940	Influenza:P06821
Q9ULT8	Influenza:P06821
Q9ULT8	Influenza:P03431
Q9UBU9	Influenza:P03496
P62158	Influenza:P03496
O00459	Influenza:P03428
O00459	Influenza:P03496
Q9Y383	Influenza:P03466
P04406	Influenza:P03496
O95373	Influenza:P03468
P62269	Influenza:P03496
P02545	Influenza:P03496
P02545	Influenza:P03428
Q9H307	Influenza:P03508
Q9UJX2	Influenza:P06821
O00629	Influenza:P03466
O00629	Influenza:P03433
O00629	Influenza:P03428
Q9UKK6	Influenza:P03496
P62805	Influenza:P03496
P35579	Influenza:P03496
P35579	Influenza:P03452
Q13813	Influenza:P03508
Q13813	Influenza:P03431
Q7Z406	Influenza:P03496
O43707	Influenza:P03508
O43707	Influenza:P03468
O43707	Influenza:P03452
O43707	Influenza:P03496
O43707	Influenza:P03466
O43707	Influenza:Q8JR21
P12814	Influenza:P03468
P12814	Influenza:P03452
P12814	Influenza:P03508
P61981	Influenza:P03496
O14980	Influenza:P03466
Q9UGI0	Influenza:P03428
Q12983	Influenza:P03466
Q15654	Influenza:P03431
O15226	Influenza:P03496
O95786	Influenza:P03496
P14625	Influenza:P03468
P14625	Influenza:P03452
P14625	Influenza:P06821
P14625	Influenza:P03428
Q8IWZ3	Influenza:P03428
P62258	Influenza:P03496
Q15365	Influenza:P03496
Q15365	Influenza:P03485
Q15365	Influenza:P03428
P04843	Influenza:P03468
P04843	Influenza:P03508
P04843	Influenza:P03452
P04843	Influenza:P03496
P04843	Influenza:P06821
Q92499	Influenza:P03496
Q92499	Influenza:P03485
Q92499	Influenza:P06821
Q9BUJ2	Influenza:P03496
Q9BUJ2	Influenza:P03431
Q9BUJ2	Influenza:P03428
Q9BUJ2	Influenza:P03508
Q9UJX3	Influenza:P06821
P51617	Influenza:P03431
P51617	Influenza:P06821
P51617	Influenza:P03428
Q05639	Influenza:P03496
P51153	Influenza:P06821
P51153	Influenza:P03468
P51153	Influenza:P03452
P51153	Influenza:P03496
P60468	Influenza:P03468
O00410	Influenza:P03468
